"YEAR","AMA","SECTOR","CATEGORY","PARENT WATER TYPE OR SECTOR","BUDGET ELEMENT","QUANTITY"
"1993","PHOENIX AMA","Indian","Demand","Municipal","Municipal","849"
"1990","SANTA CRUZ AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","846"
"1996","PRESCOTT AMA","Municipal","Supply","Effluent","Effluent","842"
"2018","PHOENIX AMA","Industrial","Supply","","Recovered Reclaimed","841"
"1999","PHOENIX AMA","Agricultural","Supply","Spill","Spill","839"
"1990","PHOENIX AMA","Industrial","Supply","CAP","CAP","838"
"1989","SANTA CRUZ AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","837"
"2010","PRESCOTT AMA","Agricultural","Supply","Effluent","Recovered Effluent","837"
"1999","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","836"
"1999","PHOENIX AMA","Municipal","Supply","Spill","Spill","835"
"2000","SANTA CRUZ AMA","Municipal","Demand","Municipal","Deliveries to Individual Users","833"
"1993","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","832"
"1995","PHOENIX AMA","Industrial","Supply","CAP","CAP","828"
"1986","PRESCOTT AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","826"
"1987","PRESCOTT AMA","Industrial","Demand","Industrial","Non Facility Use","825"
"1991","PHOENIX AMA","Industrial","Supply","CAP","CAP","825"
"1992","PHOENIX AMA","Indian","Demand","Municipal","Municipal","825"
"1998","PHOENIX AMA","Municipal","Supply","Effluent","Direct Use Effluent","825"
"2000","PRESCOTT AMA","Municipal","Supply","Surface Water","Recovered Surface Water","825"
"2007","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","825"
"2006","TUCSON AMA","Indian","Demand","Indian","Industrial","824"
"1998","PHOENIX AMA","Industrial","Supply","CAP","GSF (CAP)","822"
"1988","TUCSON AMA","Indian","Demand","Indian","Industrial","821"
"1990","PINAL AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","821"
"1991","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","821"
"2001","PRESCOTT AMA","Industrial","Demand","Industrial","Golf Courses","819"
"1988","SANTA CRUZ AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","818"
"1997","PHOENIX AMA","Agricultural","Supply","Spill","Spill","812"
"1987","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","810"
"1987","SANTA CRUZ AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","809"
"1989","PINAL AMA","Municipal","Supply","Surface Water","Surface Water","809"
"1992","PINAL AMA","Industrial","Demand","Industrial","Dairy Facilities","806"
"2007","PRESCOTT AMA","Industrial","Demand","Industrial","Non Facility Use","806"
"1992","PRESCOTT AMA","Industrial","Supply","Groundwater","Groundwater","805"
"1992","PINAL AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","803"
"2009","TUCSON AMA","Industrial","Demand","Industrial","Non Conservation and Non Municipal Demand","803"
"2009","TUCSON AMA","Industrial","Supply","Groundwater","Poor Quality GW","803"
"2003","PRESCOTT AMA","Industrial","Demand","Industrial","Golf Courses","802"
"1991","PHOENIX AMA","Indian","Demand","Municipal","Municipal","801"
"2017","PHOENIX AMA","Industrial","Supply","Other","Other","799"
"1996","PRESCOTT AMA","Industrial","Supply","Groundwater","Groundwater","796"
"1997","PINAL AMA","Municipal","Incidental Recharge","","Incidental Recharge","794"
"2006","PRESCOTT AMA","Industrial","Demand","Industrial","Golf Courses","793"
"2010","PINAL AMA","Industrial","Supply","CAP","CAP","791"
"1996","PRESCOTT AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","790"
"1997","PRESCOTT AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","790"
"1998","PINAL AMA","Municipal","Incidental Recharge","","Incidental Recharge","790"
"2012","PINAL AMA","Agricultural","Supply","Effluent","Effluent","790"
"1987","TUCSON AMA","Industrial","Supply","Surface Water","Surface Water","789"
"1992","SANTA CRUZ AMA","Industrial","Demand","Industrial","Golf Courses","789"
"1993","PINAL AMA","Industrial","Demand","Industrial","Non Facility Use","789"
"1986","SANTA CRUZ AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","788"
"2003","TUCSON AMA","Indian","Demand","Indian","Industrial","788"
"2005","TUCSON AMA","Indian","Demand","Indian","Industrial","786"
"1985","PRESCOTT AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","785"
"1987","PHOENIX AMA","Industrial","Demand","Industrial","Cattle Feedlots","784"
"1988","PINAL AMA","Municipal","Supply","Surface Water","Surface Water","784"
"2005","PRESCOTT AMA","Industrial","Demand","Industrial","Golf Courses","783"
"2006","PRESCOTT AMA","Agricultural","Supply","Effluent","Recovered Effluent","782"
"1989","PINAL AMA","Industrial","Demand","Industrial","Non Facility Use","781"
"1994","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","780"
"1986","PRESCOTT AMA","Industrial","Supply","Groundwater","Groundwater","779"
"1994","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","779"
"1994","PRESCOTT AMA","Industrial","Supply","Groundwater","Groundwater","778"
"1990","PHOENIX AMA","Indian","Demand","Municipal","Municipal","777"
"1993","PRESCOTT AMA","Municipal","Supply","Effluent","Effluent","777"
"2004","PRESCOTT AMA","Industrial","Demand","Industrial","Golf Courses","776"
"1985","SANTA CRUZ AMA","Municipal","Exempt Wells","Municipal","AMA Exempt Wells","770"
"1985","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","769"
"2010","PHOENIX AMA","Industrial","Supply","CAP","CAP","768"
"1986","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","767"
"1996","PINAL AMA","Municipal","Incidental Recharge","","Incidental Recharge","767"
"1999","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","767"
"1987","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","766"
"1993","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","766"
"1994","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","766"
"1995","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","766"
"1996","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","766"
"2001","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","766"
"2005","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","766"
"2006","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","766"
"2009","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","766"
"2010","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","766"
"2011","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","766"
"2018","PHOENIX AMA","Industrial","Supply","Other","Other","766"
"1997","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","765"
"1998","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","765"
"2000","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","765"
"2002","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","765"
"2003","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","765"
"2004","PINAL AMA","Municipal","Supply","Effluent","Recovered Effluent","765"
"2004","PRESCOTT AMA","Industrial","Demand","Industrial","Non Facility Use","765"
"2007","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","765"
"2008","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","765"
"2016","PINAL AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","765"
"1990","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","764"
"1992","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","764"
"2004","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","764"
"1989","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","763"
"1991","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","763"
"1996","PINAL AMA","Industrial","Demand","Industrial","Non Facility Use","762"
"2000","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","761"
"2012","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","760"
"2013","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","760"
"2014","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","760"
"2015","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","760"
"2016","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","760"
"1988","PRESCOTT AMA","Recharge","Natural","","Riparian Transpiration GW","759"
"1989","PINAL AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","759"
"1997","SANTA CRUZ AMA","Municipal","Demand","Municipal","Deliveries to Individual Users","755"
"1989","PHOENIX AMA","Indian","Demand","Municipal","Municipal","754"
"2015","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","748"
"2002","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","747"
"2003","PRESCOTT AMA","Industrial","Demand","Industrial","Non Facility Use","740"
"1989","PHOENIX AMA","Industrial","Demand","Industrial","Cattle Feedlots","739"
"1992","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","738"
"1990","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","737"
"2009","TUCSON AMA","Municipal","Supply","CAP","CAP","737"
"2010","PINAL AMA","Agricultural","Supply","Effluent","Effluent","736"
"2011","SANTA CRUZ AMA","Industrial","Demand","Industrial","Golf Courses","736"
"2018","PRESCOTT AMA","Municipal","Supply","Effluent","Recovered Effluent","736"
"1995","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","735"
"1988","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","733"
"1987","TUCSON AMA","Indian","Demand","Indian","Industrial","732"
"1997","PRESCOTT AMA","Industrial","Supply","Groundwater","Groundwater","731"
"2001","PINAL AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","731"
"1988","PHOENIX AMA","Indian","Demand","Municipal","Municipal","730"
"1995","PINAL AMA","Municipal","Incidental Recharge","","Incidental Recharge","728"
"2003","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","722"
"1996","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","721"
"2014","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","721"
"1992","PHOENIX AMA","Industrial","Supply","CAP","CAP","719"
"2008","PHOENIX AMA","Industrial","Supply","Other","Other","719"
"2009","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","719"
"1992","PINAL AMA","Industrial","Demand","Industrial","Non Facility Use","718"
"1992","PINAL AMA","Municipal","Supply","Surface Water","Surface Water","717"
"2009","PINAL AMA","Municipal","Supply","CAP","Recovered CAP","713"
"2016","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","713"
"1991","PRESCOTT AMA","Municipal","Supply","Effluent","Effluent","712"
"1995","PINAL AMA","Industrial","Demand","Industrial","Non Facility Use","712"
"2006","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","712"
"1991","PINAL AMA","Industrial","Demand","Industrial","Dairy Facilities","711"
"1985","TUCSON AMA","Industrial","Supply","Surface Water","Surface Water","708"
"2005","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","708"
"2009","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","708"
"1987","PHOENIX AMA","Indian","Demand","Municipal","Municipal","706"
"1993","PRESCOTT AMA","Industrial","Supply","Groundwater","Groundwater","704"
"2000","TUCSON AMA","Indian","Demand","Indian","Agricultural","702"
"2000","TUCSON AMA","Indian","Supply","CAP","CAP","702"
"2013","PRESCOTT AMA","Industrial","Demand","Industrial","Golf Courses","702"
"1995","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","700"
"1990","PINAL AMA","Industrial","Demand","Industrial","Dairy Facilities","697"
"1995","PRESCOTT AMA","Industrial","Supply","Groundwater","Groundwater","696"
"2010","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","694"
"1998","SANTA CRUZ AMA","Municipal","Demand","Municipal","Deliveries to Individual Users","692"
"2015","SANTA CRUZ AMA","Industrial","Demand","Industrial","Golf Courses","691"
"2015","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","690"
"1986","PRESCOTT AMA","Industrial","Demand","Industrial","Non Facility Use","689"
"2001","PRESCOTT AMA","Municipal","Demand","Municipal","Small Provider Deliveries","689"
"2016","PHOENIX AMA","Industrial","Supply","Other","Other","689"
"2001","PRESCOTT AMA","Municipal","Supply","Surface Water","Recovered Surface Water","688"
"1988","PINAL AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","686"
"2000","PINAL AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","686"
"1998","PRESCOTT AMA","Municipal","Supply","Effluent","Effluent","685"
"2011","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","685"
"2015","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","684"
"1988","PINAL AMA","Industrial","Demand","Industrial","Non Facility Use","683"
"1986","PHOENIX AMA","Indian","Demand","Municipal","Municipal","682"
"2007","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","682"
"2018","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","682"
"2008","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","678"
"1997","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","677"
"1987","PINAL AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","676"
"2007","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","676"
"1994","PINAL AMA","Municipal","Incidental Recharge","","Incidental Recharge","675"
"1996","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","674"
"2017","PINAL AMA","Municipal","Supply","AWS Groundwater Accounting","Excess","674"
"2009","TUCSON AMA","Industrial","Demand","Industrial","Drainage and Dewatering Permits","671"
"1997","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","670"
"2008","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","670"
"1989","PRESCOTT AMA","Industrial","Supply","Groundwater","Groundwater","669"
"1998","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","668"
"2018","SANTA CRUZ AMA","Industrial","Supply","Groundwater","Water withdrawn from wells","668"
"1998","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","666"
"2010","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","666"
"2016","PRESCOTT AMA","Agricultural","Supply","Effluent","Recovered Effluent","666"
"2000","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","665"
"1995","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","662"
"2001","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","660"
"2012","PHOENIX AMA","Industrial","Supply","Other","Other","660"
"2005","PRESCOTT AMA","Industrial","Demand","Industrial","Non Facility Use","659"
"1985","PHOENIX AMA","Indian","Demand","Municipal","Municipal","658"
"1997","PRESCOTT AMA","Municipal","Supply","Effluent","Effluent","656"
"1998","PHOENIX AMA","Municipal","Supply","Effluent","Recovered Effluent","656"
"2016","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","656"
"2001","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","653"
"1993","PINAL AMA","Municipal","Supply","Surface Water","Surface Water","651"
"1992","PRESCOTT AMA","Municipal","Supply","Effluent","Effluent","650"
"2007","PRESCOTT AMA","Industrial","Demand","Industrial","Golf Courses","649"
"2012","PRESCOTT AMA","Industrial","Demand","Industrial","Golf Courses","646"
"2012","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","646"
"2008","PRESCOTT AMA","Industrial","Demand","Industrial","Golf Courses","645"
"1993","PINAL AMA","Municipal","Incidental Recharge","","Incidental Recharge","642"
"1985","PRESCOTT AMA","Industrial","Supply","Groundwater","Groundwater","641"
"1999","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","641"
"1995","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","640"
"1998","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","639"
"1994","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","638"
"1999","PRESCOTT AMA","Municipal","Demand","Municipal","Small Provider Deliveries","637"
"1989","PINAL AMA","Municipal","Incidental Recharge","","Incidental Recharge","635"
"1991","PINAL AMA","Municipal","Supply","Surface Water","Surface Water","634"
"1992","PINAL AMA","Municipal","Incidental Recharge","","Incidental Recharge","632"
"1996","SANTA CRUZ AMA","Municipal","Demand","Municipal","Deliveries to Individual Users","632"
"2005","PINAL AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","632"
"2013","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","632"
"2004","PINAL AMA","Industrial","Demand","Industrial","Parks Schools Cemeteries HOAs","629"
"1992","PINAL AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","625"
"2000","PINAL AMA","Municipal","Supply","CAP","Recovered CAP","621"
"2000","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","621"
"1987","PINAL AMA","Municipal","Incidental Recharge","","Incidental Recharge","619"
"2008","TUCSON AMA","Industrial","Demand","Industrial","Non Conservation and Non Municipal Demand","617"
"1993","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","616"
"2008","SANTA CRUZ AMA","Municipal","Demand","Municipal","Deliveries to Individual Users","615"
"1992","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","614"
"1988","PINAL AMA","Municipal","Incidental Recharge","","Incidental Recharge","613"
"1988","PHOENIX AMA","Industrial","Demand","Industrial","Cattle Feedlots","612"
"1991","PINAL AMA","Municipal","Incidental Recharge","","Incidental Recharge","612"
"2011","PRESCOTT AMA","Industrial","Demand","Industrial","Golf Courses","612"
"1994","PINAL AMA","Municipal","Supply","Surface Water","Surface Water","611"
"2008","TUCSON AMA","Industrial","Supply","Groundwater","Poor Quality GW","611"
"2015","PINAL AMA","Municipal","Supply","Effluent","Recovered Effluent","611"
"1990","PINAL AMA","Municipal","Incidental Recharge","","Incidental Recharge","609"
"1994","PINAL AMA","Industrial","Demand","Industrial","Non Facility Use","608"
"1999","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","606"
"1987","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","603"
"2000","PRESCOTT AMA","Municipal","Demand","Municipal","Small Provider Deliveries","603"
"1991","PHOENIX AMA","Industrial","Demand","Industrial","Cattle Feedlots","601"
"2007","TUCSON AMA","Agricultural","Demand","Agricultural","Exempt IGFRs","601"
"1999","PINAL AMA","Municipal","Supply","CAP","Recovered CAP","600"
"2002","PINAL AMA","Municipal","Supply","CAP","Recovered CAP","600"
"1990","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","594"
"2008","PRESCOTT AMA","Industrial","Demand","Industrial","Non Facility Use","594"
"2009","PRESCOTT AMA","Industrial","Demand","Industrial","Golf Courses","594"
"1991","SANTA CRUZ AMA","Municipal","Demand","Municipal","Deliveries to Individual Users","591"
"1998","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","591"
"1993","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","589"
"2017","PINAL AMA","Agricultural","Demand","Agricultural","Exempt IGFRs","589"
"1991","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","587"
"2008","TUCSON AMA","Municipal","Supply","Surface Water","Surface Water","585"
"1995","PHOENIX AMA","Industrial","Demand","Industrial","Cattle Feedlots","584"
"2004","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","582"
"1986","PINAL AMA","Municipal","Incidental Recharge","","Incidental Recharge","580"
"1997","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","576"
"2010","PRESCOTT AMA","Industrial","Demand","Industrial","Golf Courses","576"
"1989","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","575"
"2007","PINAL AMA","Municipal","Demand","Municipal","Deliveries to Individual Users","573"
"1993","PHOENIX AMA","Industrial","Demand","Industrial","Cattle Feedlots","572"
"2012","PINAL AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","572"
"2013","PRESCOTT AMA","Municipal","Supply","Effluent","Recovered Effluent","571"
"1990","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","570"
"2011","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","570"
"2018","PHOENIX AMA","Agricultural","Supply","Spill","Spill","568"
"2006","PRESCOTT AMA","Industrial","Demand","Industrial","Non Facility Use","567"
"2010","TUCSON AMA","Industrial","Demand","Industrial","Drainage and Dewatering Permits","567"
"2015","SANTA CRUZ AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","566"
"1996","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","562"
"1993","PINAL AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","559"
"1994","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","559"
"2001","PHOENIX AMA","Municipal","Supply","Spill","Spill","559"
"2011","PHOENIX AMA","Municipal","Supply","Spill","Spill","559"
"1995","PINAL AMA","Municipal","Supply","Surface Water","Surface Water","558"
"1985","PINAL AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","557"
"2014","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exception Users","557"
"1987","PINAL AMA","Industrial","Demand","Industrial","Non Facility Use","555"
"1986","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","554"
"1989","PINAL AMA","Industrial","Demand","Industrial","Dairy Facilities","554"
"2009","TUCSON AMA","Agricultural","Demand","Agricultural","Exempt IGFRs","554"
"1988","PRESCOTT AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","552"
"1994","PHOENIX AMA","Industrial","Demand","Industrial","Cattle Feedlots","552"
"1997","PRESCOTT AMA","Municipal","Demand","Municipal","Small Provider Deliveries","552"
"2018","PINAL AMA","Municipal","Supply","AWS Groundwater Accounting","Excess","552"
"1998","PRESCOTT AMA","Municipal","Demand","Municipal","Small Provider Deliveries","551"
"2009","PRESCOTT AMA","Industrial","Demand","Industrial","Non Facility Use","551"
"2014","PINAL AMA","Municipal","Supply","AWS Groundwater Accounting","Excess","551"
"1985","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","550"
"1992","SANTA CRUZ AMA","Municipal","Demand","Municipal","Deliveries to Individual Users","550"
"1995","PHOENIX AMA","Municipal","Supply","Effluent","Recovered Effluent","550"
"2011","PRESCOTT AMA","Municipal","Supply","Surface Water","Recovered Surface Water","548"
"1995","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","547"
"2017","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","542"
"2002","PHOENIX AMA","Agricultural","Supply","Spill","Spill","541"
"2002","PRESCOTT AMA","Industrial","Demand","Industrial","Non Facility Use","539"
"1996","PHOENIX AMA","Municipal","Supply","CAP","Recovered CAP","538"
"1994","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","534"
"2006","TUCSON AMA","Agricultural","Supply","Surface Water","Surface Water","534"
"2011","SANTA CRUZ AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","532"
"1987","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","531"
"1989","PRESCOTT AMA","Agricultural","Demand","Agricultural","Agricultural Lost and Unaccounted","530"
"1995","PHOENIX AMA","Agricultural","Supply","Other","Other","530"
"1995","SANTA CRUZ AMA","Municipal","Demand","Municipal","Deliveries to Individual Users","529"
"2018","SANTA CRUZ AMA","Industrial","Demand","Industrial","Golf Courses","529"
"1985","PINAL AMA","Municipal","Incidental Recharge","","Incidental Recharge","526"
"1996","PHOENIX AMA","Municipal","Supply","Effluent","Recovered Effluent","526"
"2006","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","526"
"2018","PINAL AMA","Agricultural","Supply","Effluent","Effluent","524"
"1988","PRESCOTT AMA","Industrial","Supply","Groundwater","Groundwater","523"
"1985","PRESCOTT AMA","Agricultural","Demand","Agricultural","Exempt IGFRs","522"
"2003","PHOENIX AMA","Municipal","Supply","Spill","Spill","521"
"2012","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","521"
"1993","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","520"
"2007","TUCSON AMA","Agricultural","Supply","Surface Water","Surface Water","520"
"2006","PINAL AMA","Municipal","Demand","Municipal","Large Provider Lost and Unaccounted for Water","519"
"1995","PHOENIX AMA","Municipal","Supply","Effluent","Effluent","518"
"1988","SANTA CRUZ AMA","Municipal","Demand","Municipal","Small Provider Deliveries","517"
"2001","PHOENIX AMA","Agricultural","Supply","Spill","Spill","517"
"2010","PINAL AMA","Municipal","Supply","Surface Water","Surface Water","517"
"1991","PRESCOTT AMA","Industrial","Supply","Groundwater","Groundwater","516"
"1999","TUCSON AMA","Municipal","Supply","AWS Groundwater Accounting","Excess","516"
"2005","PINAL AMA","Municipal","Supply","Surface Water","Surface Water","511"
"2012","PHOENIX AMA","Agricultural","Supply","Spill","Spill","511"
"2006","PINAL AMA","Municipal","Supply","Effluent","Effluent","509"
"2010","PRESCOTT AMA","Industrial","Demand","Industrial","Non Facility Use","509"
"2018","PINAL AMA","Agricultural","Demand","Agricultural","Exempt IGFRs","509"
"1992","TUCSON AMA","Municipal","Demand","Municipal","Domestic Exempt Volume","507"
"1996","PINAL AMA","Municipal","Supply","Surface Water","Surface Water","507"
"2008","TUCSON AMA","Agricultural","Supply","Surface Water","Surface Water","507"
"1985","PRESCOTT AMA","Industrial","Demand","Industrial","Non Facility Use","506"
"1988","PINAL AMA","Industrial","Demand","Industrial","Dairy Facilities","506"
"1999","PINAL AMA","Municipal","Demand","Municipal","Urban Irrigation","506"
"2012","PINAL AMA","Municipal","Supply","CAP","Recovered CAP","506"
"1998","PINAL AMA","Municipal","Supply","Surface Water","Surface Water","503"
"2008","TUCSON AMA","Municipal","Supply","CAP","CAP","503"
"2017","PRESCOTT AMA","Industrial","Demand","Industrial","Sand and Gravel Facilities","503"
"1996","PRESCOTT AMA","Industrial","Demand","Industrial","Golf Courses","502"
"2009","TUCSON AMA","Agricultural","Supply","Surface Water","Surface Water","501"
"1985","PINAL AMA","Recharge","Natural","","Mountain Front","500"
"1986","PINAL AMA","Recharge","Natural","","Mountain Front","500"
"1987","PINAL AMA","Recharge","Natural","","Mountain Front","500"
"1988","PINAL AMA","Recharge","Natural","","Mountain Front","500"
"1989","PINAL AMA","Recharge","Natural","","Mountain Front","500"
"1990","PINAL AMA","Recharge","Natural","","Mountain Front","500"
"1991","PINAL AMA","Recharge","Natural","","Mountain Front","500"
"1992","PINAL AMA","Recharge","Natural","","Mountain Front","500"
"1993","PINAL AMA","Recharge","Natural","","Mountain Front","500"
"1994","PINAL AMA","Recharge","Natural","","Mountain Front","500"
